dim_01,dim_02,dim_03,dim_04,dim_05,dim_06,dim_07,dim_09,dim_10,dim_11,dim_13,dim_17,cluster,cluster_pred
-0.0564824,-0.721404324,1.233218008404056,0.7950637105481416,1.152711489849378,-0.209143425,-0.159365799,-0.014080425,-0.27688081,-0.016079322,0.0832471963079638,0.0632423459739074,2,2
-0.030384927,-1.097853469,-0.956710439,0.1866328150781301,1.188670927163984,-0.569533052,0.174159723612517,0.0637516922117104,-0.135699164,-0.005541761,0.1761991392109566,-0.103038351,2,2
0.9643039435840632,-1.347522646,0.0188606110672972,-0.646950158,3.565128079234308,0.1838764126678854,-0.367158107,-0.241497235,-0.143351145,-0.097438991,0.3989818525615761,0.1196128114655305,2,2
-0.464942058,-1.343631791,-0.466541208,-0.514043693,-0.125213313,-0.36086305,-0.910659772,-0.508603491,0.2244743410510193,-0.314107538,0.4370035701131152,0.0027683379225702,3,3
-2.277012718,-1.597191726,-0.46812054,0.327881199364203,2.925651495488608,-0.066410551,-2.723635566,-0.296828121,-0.29013813,0.0457409463126595,0.2996317052918488,0.1416574825510552,2,2
-0.734930791,-1.348819565,0.5071919485050657,-0.424662608,0.8066969393057278,-1.105616716,-0.282401396,-0.515775401,-0.147865465,-0.01644426,0.2043574783854713,-0.222423932,3,3
2.403311608880861,-0.065777398,0.9933436886162929,2.1778022297640067,-0.861980396,0.8022698546037379,1.1196775420614866,0.5555536439753456,-0.372673315,-0.009265913,0.0303541774838574,-0.031784654,5,4
3.4181123912529383,5.289145680252636,0.991441600602322,2.389754492030757,0.0611934962808635,0.7899077488201013,0.6134438901327556,0.7064708535921432,0.0763276807758917,-0.243193924,-0.053731307,-0.103581096,1,1
0.5094201460113678,3.6231695790055887,0.992499364321248,2.695389364817591,-0.438517206,0.729906944045842,0.3064007203423146,0.5842662085872421,-0.271793483,-0.160632563,-0.007036272,-0.082172087,1,1
-0.164224697,2.9091798352241915,0.9929331668774488,2.674115108711038,-0.647707931,0.7261020079131592,0.6883877223669073,0.6179010738624675,-0.273346818,-0.140391308,0.0180887891433741,-0.074480632,1,1
1.3642014993207003,1.1608413976464875,0.2614858047155325,0.847756298463165,0.0652116608392203,1.2851377381714617,0.6139920777646476,0.5351944029692324,-0.372177568,0.11527443214481,0.1243101097476584,0.0081873988496302,5,4
0.4407298656617528,-0.407696704,0.0190975821143195,1.1844982192748177,1.1171155815441205,1.4299132205352316,0.3007310354027114,0.4008643582262684,-0.411434522,0.0559171391133731,0.005740686420348,-0.06153226,5,4
0.4528333384604812,-0.407696704,0.0199647195278662,1.6162277047138656,0.7077226616331267,1.3794452546000064,1.115154103557088,0.6436293180810967,-0.412266366,0.0413939985653893,-0.026235677,-0.055104612,5,4
0.8798654371537391,1.1608413976464875,-0.223022399,0.1492411002587494,-0.977592859,0.482003950614144,-0.294844144,0.0467768362784187,-0.258778236,-0.09336137,0.0997294904531328,-0.019651679,1,1
-0.040124106,-0.595921276,-1.442722628,0.877532757359099,0.4909361927091303,1.4584903470671209,0.205928793613595,0.1966782833191962,-0.459873157,-0.009266958,0.0204551168465256,0.1260270381289194,5,4
-0.040525046,-0.595921276,-1.687524068,0.8868802023771117,1.2065577290502916,1.4601621531748958,0.1316060355592532,0.1966782833191962,-0.459873157,-0.009266958,0.0204551168465256,0.1260270381289194,5,4
-0.478219014,-0.846887372,1.2407961353658494,-1.807685001,2.729232817940328,-1.441981608,-0.119398596,-0.234726341,0.4214464213630647,0.306680471292112,0.001926788541583,0.0562197969055271,2,2
-2.170780721,-1.474302613,1.4795158165010052,-1.506530542,0.8786095569961512,-0.798991862,0.3250909470184017,-0.586571429,0.1941984699070028,-0.117931513,0.3088397274718151,-0.042827151,3,3
-0.482701171,-0.093989084,-2.408488367,-1.009263531,1.3094849363841994,-0.920238336,-0.722762565,-0.202430423,0.0965686043674733,0.3033696295416793,0.1841500346074112,-0.164795931,0,0
