dim_01,dim_02,dim_03,dim_04,dim_05,dim_06,dim_07,dim_08,dim_09,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19,dim_20,dim_21,cluster,cluster_cat
-0.0564824,-0.721404324,1.233218008404056,0.7950637105481416,1.152711489849378,-0.209143425,-0.159365799,1.727788199833112,-0.014080425,-0.27688081,-0.016079322,-0.122502714,0.0832471963079638,-0.024309047,-0.023945078,-0.231235885,0.0632423459739074,0.1003668128926192,-0.084056764,0.0974903038524646,-0.284775682,2,TEA_2
-0.030384927,-1.097853469,-0.956710439,0.1866328150781301,1.188670927163984,-0.569533052,0.174159723612517,1.1163457269699195,0.0637516922117104,-0.135699164,-0.005541761,-0.318246832,0.1761991392109566,-0.055006418,0.0645949266769299,-0.238355665,-0.103038351,0.2608135992654661,-0.054351152,0.1334665957317982,-0.135533569,2,TEA_2
0.9643039435840632,-1.347522646,0.0188606110672972,-0.646950158,3.565128079234308,0.1838764126678854,-0.367158107,-0.81988877,-0.241497235,-0.143351145,-0.097438991,-0.07613873,0.3989818525615761,-0.034870847,0.2461521366209962,-0.086512395,0.1196128114655305,-0.082924563,-0.046257154,-0.083449201,0.0772125143194306,2,TEA_2
-0.464942058,-1.343631791,-0.466541208,-0.514043693,-0.125213313,-0.36086305,-0.910659772,-0.81988877,-0.508603491,0.2244743410510193,-0.314107538,0.4397838157949939,0.4370035701131152,-0.050410187,0.2755465682733733,0.1100570846640937,0.0027683379225702,-0.305470616,0.0345623169729519,0.4173128504178134,-0.268854788,3,TEA_3
-2.277012718,-1.597191726,-0.46812054,0.327881199364203,2.9256514954886077,-0.066410551,-2.723635566,-1.023702928,-0.296828121,-0.29013813,0.0457409463126595,0.5060850809347452,0.2996317052918488,-0.360957846,0.0501193559408333,-0.389125586,0.1416574825510552,0.0415660216642389,-0.049508437,0.1451439095073883,-0.109271677,2,TEA_2
-0.734930791,-1.348819565,0.5071919485050657,-0.424662608,0.8066969393057278,-1.105616716,-0.282401396,-0.310353376,-0.515775401,-0.147865465,-0.01644426,0.10216577287192,0.2043574783854713,0.13585174949349,-0.012135139,-0.031247216,-0.222423932,0.0403461215366154,0.0817002131835334,-0.001133126,-0.119854452,3,TEA_3
2.403311608880861,-0.065777398,0.9933436886162929,2.1778022297640067,-0.861980396,0.8022698546037379,1.1196775420614866,-0.81988877,0.5555536439753456,-0.372673315,-0.009265913,-0.037464822,0.0303541774838574,0.0281172775703846,0.0236750228784108,0.0605618623667681,-0.031784654,0.0477477732738037,-0.138925976,0.0225682023786716,0.0893128881201481,5,TEA_5
3.4181123912529383,5.289145680252636,0.991441600602322,2.389754492030757,0.0611934962808635,0.7899077488201013,0.6134438901327556,1.320159884590984,0.7064708535921432,0.0763276807758917,-0.243193924,0.1943960910910639,-0.053731307,0.4532344080343112,-0.035913127,0.0774491246054251,-0.103581096,-0.071045428,-0.010194617,0.0406520476315975,0.0070750838217379,1,TEA_1
0.5094201460113678,3.6231695790055887,0.992499364321248,2.695389364817591,-0.438517206,0.729906944045842,0.3064007203423146,-0.616074613,0.5842662085872421,-0.271793483,-0.160632563,0.0611539281491494,-0.007036272,0.1576653150981113,-0.342973985,0.0748123168876022,-0.082172087,-0.177894279,-0.108757463,0.0745055850159241,-0.051872862,1,TEA_1
-0.164224697,2.9091798352241915,0.9929331668774488,2.674115108711038,-0.647707931,0.7261020079131592,0.6883877223669073,1.4220669634015164,0.6179010738624675,-0.273346818,-0.140391308,0.1043899998157354,0.0180887891433741,0.2033977711272533,-0.347184897,0.1726082161108577,-0.074480632,-0.106066664,-0.075046645,0.0049567815231539,-0.074518189,1,TEA_1
