LINK_index,ATBG01,ATBR01A,ATBR01B,ATBR02A,ATBR02B,ATBR04,ATBR05,ATBGEAS,ATBGSOS,ATBGTJS,ATBGSLI,ATDGLIHY,ATDGRIHY,ITLANG_TQ,LCID_TQ,ATBG02,ATBG03,ATBG04,ATBG05AA,ATBG05AB,ATBG05AC,ATBG05AD,ATBG05BA,ATBG05BB,ATBG05BC,ATBG05BD,ATBG05BE,ATBG05BF,ATBG05BG,ATBG05BH,ATBG05BI,ATBG05BJ,ATBG05BK,ATBG06,ATBG07AA,ATBG07BA,ATBG07AB,ATBG07BB,ATBG07AC,ATBG07BC,ATBG07AD,ATBG07BD,ATBG07AE,ATBG07BE,ATBG07AF,ATBG07BF,ATBG07AG,ATBG07BG,ATBG08A,ATBG08B,ATBG08C,ATBG08D,ATBG08E,ATBG09A,ATBG09B,ATBG09C,ATBG09D,ATBG10A,ATBG10B,ATBG10C,ATBG10D,ATBG10E,ATBG10F,ATBG10G,ATBG10H,ATBG10I,ATBG10J,ATBG10K,ATBG10L,ATBG11A,ATBG11B,ATBG11C,ATBG11D,ATBG11E,ATBG11F,ATBG11G,ATBG11H,ATBG11I,ATBG12A,ATBG12B,ATBG12C,ATBG12D,ATBG12E,ATBG12F,ATBR03A,ATBR03B,ATBR03C,ATBR03D,ATBR03E,ATBR03F,ATBR03G,ATBR03H,ATBR06A,ATBR06B,ATBR06C,ATBR06D,ATBR06E,ATBR07AA,ATBR07AB,ATBR07AC,ATBR07AD,ATBR07BA,ATBR07BB,ATBR07BC,ATBR07BD,ATBR08A,ATBR08B,ATBR08C,ATBR08D,ATBR08E,ATBR08F,ATBR08G,ATBR08H,ATBR09A,ATBR09B,ATBR09C,ATBR09D,ATBR09E,ATBR09F,ATBR09G,ATBR09H,ATBR09I,ATBR10A,ATBR10B,ATBR10C,ATBR10D,ATBR10E,ATBR10F,ATBR10G,ATBR10H,ATBR10I,ATBR10J,ATBR10K,ATBR10L,ATBR11A,ATBR11B,ATBR11C,ATBR11D,ATBR11E,ATBR12A,ATBR12BA,ATBR12BB,ATBR12BC,ATBR12BD,ATBR12C,ATBR12DA,ATBR12DB,ATBR12DC,ATBR12EA,ATBR12EB,ATBR12EC,ATBR12ED,ATBR12EE,ATBR13A,ATBR13B,ATBR13C,ATBR13D,ATBR13E,ATBR14,ATBR15,ATBR16,ATBR17A,ATBR17B,ATBR17C,ATBR18A,ATBR18B,ATBR18C,ATBR18D,ATBR18E,ATBR19,ATDGEAS,ATDGSOS,ATDGTJS,ATDGSLI,cluster,cluster_cat
44650085008011500801014,8,30,30,0,4,395,240,11.27266,11.59162,13.241339999999996,11.57611,256.75,156,10,5124,1,3.0000000000000004,5,1,2,2,1,2,2,3,3,3,2,2,1,2,2,2,2,1,1,2,1,1,1,2,2,1,2,1,1,1,1,1,1,1,2,1,2,2,1,1,1,1,2,1,2,2,3,2,3,2,2,2,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,2,1,1,1,1,2,1,2,1,4,1,2,1,1,3,4,3,1,3,3,2,1,1,2,2,2,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,3,3,2,1,2,3,3,2,2,2,2,2,4,3,3,3,4,4,4,4,4,1,4,3,1,2,1,2,2,1,1,1,1,1,1,2,1,5,2,1,1,1,5,TEA_5
44650085008022500802024,5,29.000000000000004,29.000000000000004,4,5,320,115,10.65566,13.6815,13.241339999999996,10.90415,208,74.75,10,5124,1,2,5,2,1,1,2,3,3,2,2,2,2,2,2,2,2,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,3,2,1,1,2,2,2,2,3,2,2,3,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,2,2,1,3,3,2,2,1,1,4,2,1,4,4,3,2,1,2,2,2,1,3,1,2,3,1,1,1,2,2,1,1,1,2,1,1,2,2,1,1,2,2,3,3,1,1,1,3,3,2,2,2,2,2,4,3,3,3,4,4,4,4,4,1,4,4,1,2,1,2,3,1,1,1,1,1,2,1,2,2,2,1,1,1,5,TEA_5
44650085008024500802044,5,29.000000000000004,29.000000000000004,4,3.0000000000000004,320,115,11.58744,13.6815,13.241339999999996,12.34223,208,74.75,10,5124,1,2,5,2,1,1,2,3,3,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,3,2,1,1,2,1,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,2,2,1,1,1,3,4,3,1,3,3,3,1,1,1,2,2,1,2,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,3,2,1,1,3,3,2,2,2,2,2,4,3,3,3,4,4,4,4,4,1,3,4,1,2,1,2,2,1,1,1,1,1,1,1,2,2,2,1,1,1,5,TEA_5
44650085008033500803034,36,28,28,0,0,355,240,10.04647,10.96579,11.01744,9.68037,230.75,156,10,5124,1,6.000000000000001,4,1,2,1,1,3,1,3,3,2,2,2,3,3,1,1,2,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,3,3,2,1,2,2,2,1,3,3,2,4,3,2,2,1,1,1,2,2,1,1,1,2,1,1,1,1,1,3,2,2,2,1,1,2,2,2,3,4,1,3,2,3,4,4,3,3,4,3,3,1,1,2,2,2,2,2,3,3,3,3,2,2,2,3,2,3,2,2,2,2,2,2,2,2,2,2,3,3,3,2,2,3,3,2,2,2,2,2,4,3,3,3,4,4,4,4,4,1,4,2,1,1,1,3,3,1,1,1,1,1,1,1,1,1,2,1,1,2,1,TEA_1
44650105010011501001014,4,23,23,0,6.000000000000001,280,100,10.04647,13.6815,13.241339999999996,10.90415,182,65,10,5124,2,2,5,1,1,2,1,2,2,2,3,3,2,2,2,2,1,2,1,1,1,2,1,1,1,2,2,2,2,1,1,1,1,1,1,1,2,2,1,3,2,1,2,2,2,1,1,3,3,3,3,2,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,2,1,2,1,3,3,3,4,3,3,4,4,1,3,3,3,1,1,1,1,2,1,2,3,1,3,1,1,1,2,2,1,2,1,2,1,2,3,3,2,3,3,2,4,4,2,1,1,3,4,2,2,2,2,2,4,3,3,3,4,4,4,4,4,1,4,3,1,2,4,2,2,1,1,1,1,1,1,2,1,5,2,1,1,1,5,TEA_5
44650105010012501001024,4,22,22,0,9,280,100,10.04647,13.6815,13.241339999999996,10.90415,182,65,10,5124,2,2,5,1,1,2,1,2,2,2,3,3,2,2,2,2,1,2,1,1,1,2,1,1,1,2,2,2,2,1,1,1,1,1,1,1,2,2,1,3,2,1,2,2,2,1,1,3,3,3,3,2,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,2,1,2,1,3,3,3,4,3,3,4,4,1,3,3,3,1,1,1,1,2,1,2,3,1,3,1,1,1,2,2,1,2,1,2,1,2,3,3,2,3,3,2,4,4,2,1,1,3,4,2,2,2,2,2,4,3,3,3,4,4,4,4,4,1,4,3,1,2,4,2,2,1,1,1,1,1,1,2,1,5,2,1,1,1,5,TEA_5
44650115011011501101014,18,35,33,6,10,240.00000000000003,80,7.63433,7.52665,6.01233,10.27928,156,52,10,5124,1,4,6,2,2,2,1,3,2,2,3,2,1,2,2,1,2,2,1,1,1,2,2,1,1,1,2,2,2,1,2,1,1,2,2,1,2,2,2,3,1,2,3,3,2,3,3,3,3,3,3,2,4,3,1,2,2,2,3,3,2,2,3,3,2,2,3,3,3,2,1,1,1,2,2,2,2,1,2,3,3,3,2,3,3,3,1,3,2,4,1,1,2,1,1,1,2,3,3,3,2,3,3,3,3,3,3,1,1,1,1,3,2,3,2,2,3,4,4,3,1,2,2,3,1,1,2,2,2,1,2,2,2,3,3,3,2,3,1,2,2,1,1,3,2,3,1,2,1,1,1,1,1,2,5,3,2,3,2,2,TEA_2
44650115011022501102024,3.0000000000000004,35,35,4,4,100,30,7.0062,9.89419,7.334360000000001,10.90415,65,19.5,10,5124,1,2,5,1,1,2,2,3,2,2,2,1,1,2,2,1,1,2,2,1,2,1,2,1,2,2,2,2,2,1,2,1,2,2,2,1,1,2,2,2,2,2,3,3,3,3,3,4,3,3,3,3,3,3,1,1,1,1,2,2,2,2,2,2,3,2,2,2,3,2,1,1,1,1,2,2,2,3,3,2,2,2,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,1,1,2,1,2,3,3,3,3,3,3,4,4,4,1,2,1,2,2,2,3,2,1,1,1,2,2,2,2,2,3,3,2,2,1,3,TEA_3
44650125012011501201014,5,20,18,3,7,240.00000000000003,139.99999999999997,8.54003,8.99685,7.334360000000001,9.1022,156,91,1,10333,1,3.0000000000000004,5,1,2,1,1,2,3,3,2,3,3,2,3,3,2,2,1,1,2,2,3,1,2,2,2,2,2,1,2,1,1,2,2,2,1,2,3,3,2,1,2,2,2,2,2,4,3,2,4,3,3,3,1,1,2,2,2,2,2,2,2,2,3,2,2,3,2,2,2,2,1,2,2,2,2,3,3,3,3,2,2,3,3,4,3,3,3,3,1,1,3,3,1,1,2,2,3,3,2,2,1,1,2,3,2,2,1,1,2,1,1,1,2,1,2,3,3,2,2,2,3,3,2,2,2,2,2,4,3,3,3,4,4,4,4,4,1,2,2,3,2,3,3,2,2,1,1,2,1,2,2,2,4,3,2,2,2,0,TEA_0
44650135013011501301014,5,35,35,3,5,350,190,9.44107,7.87142,6.680299999999999,9.68037,227.5,123.5,10,5124,2,3.0000000000000004,5,1,2,2,2,3,2,3,3,3,2,2,2,2,1,2,2,1,1,1,1,1,2,1,1,2,2,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,3,2,3,3,3,3,2,2,2,2,1,2,2,2,2,3,3,2,3,3,3,2,2,2,2,1,2,1,2,2,2,2,2,3,3,3,3,2,3,4,3,2,3,3,1,1,1,1,1,1,1,1,2,3,3,3,3,3,2,3,2,2,1,1,1,1,2,1,1,2,1,1,4,4,2,1,2,3,4,2,2,2,2,2,4,3,3,3,4,4,4,4,4,1,4,2,1,2,1,3,4,1,1,1,1,1,1,1,3,5,2,2,3,2,3,TEA_3
