Predicted values,Predicted values,Predicted values,Predicted values,Predicted values,Predicted values,Predicted values,recall
0,1,2,3,4,5,6,
114.0,12.0,2.0,9.0,15.0,10.0,0.0,0.7037037037037037
3.0,149.0,0.0,0.0,3.0,23.0,0.0,0.8370786516853933
1.0,0.0,38.0,0.0,0.0,0.0,0.0,0.9743589743589743
3.0,0.0,0.0,116.0,5.0,2.0,0.0,0.9206349206349206
6.0,5.0,0.0,8.0,104.0,5.0,1.0,0.8062015503875969
13.0,17.0,0.0,4.0,1.0,110.0,0.0,0.7586206896551724
0.0,0.0,0.0,0.0,0.0,0.0,27.0,1.0
0.8142857142857143,0.8142076502732241,0.95,0.8467153284671532,0.8125,0.7333333333333333,0.9642857142857143,0.8163771712158809
