Predicted values,Predicted values,Predicted values,Predicted values,Predicted values,Predicted values,Predicted values,recall
0,1,2,3,4,5,6,
572.0,11.0,0.0,8.0,16.0,13.0,0.0,0.9225806451612903
8.0,691.0,0.0,2.0,9.0,25.0,0.0,0.9401360544217687
0.0,0.0,130.0,0.0,0.0,0.0,0.0,1.0
4.0,0.0,0.0,518.0,8.0,2.0,0.0,0.9736842105263158
22.0,10.0,1.0,13.0,421.0,0.0,0.0,0.9014989293361885
25.0,46.0,0.0,5.0,0.0,555.0,0.0,0.8795562599049128
0.0,0.0,0.0,0.0,0.0,0.0,106.0,1.0
0.9064976228209192,0.9116094986807388,0.9923664122137404,0.9487179487179487,0.9273127753303965,0.9327731092436975,1.0,0.9292145296491773
