cluster,dim_01,dim_02,dim_03,dim_04,dim_05,dim_06,dim_07,dim_08,dim_09,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19,dim_20,dim_21,dim_22,dim_23,dim_24,dim_25,dim_26,dim_27,dim_28,dim_29,dim_30,dim_31,dim_32,dim_33,dim_34,dim_35,dim_36,dim_37,dim_38,dim_39,dim_40,dim_41,dim_42,dim_43,dim_44,dim_45,dim_46,dim_47,dim_48,dim_49,dim_50,dim_51,dim_52,dim_53
0,-0.016631200678690113,-1.226601814656133,0.18146977870604813,0.038212877316467685,-0.15711889479781604,-0.26927329913444076,-0.6117016945906198,-1.0492945457683434,1.0214317375265862,0.05464187843645621,-0.021773388072843316,-0.11724336996922427,0.15896444126062292,-0.05466963014023042,-0.04356894223561339,-0.007278752728608169,-0.0043724291635976005,0.004264766817808875,-0.0010116270948246238,0.02887320677876618,0.02925443235589893,-0.024760205279651448,-0.06598110953460123,-0.0010494642429968897,0.03488993573888179,0.015471511718248294,-0.028951016148177935,0.0049610928586284455,0.02965770155645912,-0.04597581616210777,0.021985427398736747,0.01345601575136734,-0.003316173698062515,-0.010491392904591694,-0.016659589034734523,0.011348846146794432,-0.021090630333855942,0.006487458431456327,-0.001539400462019906,0.007913950611436326,-0.014446824437225399,-0.0049048750065710306,-0.014608579901178783,0.012157154659394815,0.0036740215207467525,-0.007748338922792829,0.001822872338748162,-0.001452630551399645,-0.003867099974442642,-0.003521591098591017,-0.0017829686837754417,-0.0062964347386657606,0.010000823114465185
1,0.5891158772487262,0.1211936298672257,-1.7162383972961996,-0.6474760204303128,-0.3784406795956536,-0.6704176507152014,0.08128311691444805,0.0726788952783948,-0.7263272015363015,-0.04356825877946337,-0.22851837067129835,0.08945238852370627,-0.0465811371592233,0.0905498329270718,-0.0037334063501031803,-0.017628078084313496,-0.02252116199997954,0.03254113972150247,-0.010263557830231746,-0.004353085866635523,-0.026377705837701576,-0.010935045379317072,0.01900198157349879,0.0035110007170654485,-0.016994055942564992,-0.015824601574722763,-0.0005447895801132089,0.007293216975816385,-0.02522975737064957,0.024936577127122238,0.004629280675561829,0.02476534326321976,0.013208822633071302,0.0038824874744634915,-0.010502923643659083,0.0019952858464794077,0.01028016607619179,-0.01019672588010134,0.015794122493195395,-0.00188082675376312,0.005378460416155503,0.010749696082547057,-0.002705597285404363,0.0038575909228088703,-0.010619421455743575,-0.008555569154058059,-0.0009120407878130709,0.0021881318629559214,-0.00940719110175588,-0.009050048026639047,0.009503453875721676,0.005127608125463363,-0.0005094163787930318
2,0.9985844827949759,0.43762023026336994,1.9491893650204497,0.4842626447579709,-1.913160406140457,3.240815350690543,-0.34608681017870746,1.7008152278841078,1.9779722371096082,-0.8780076359717417,0.3425090722922307,0.13442831384130075,-0.053135106429164115,-0.004493570989547859,-0.014126296533975326,0.16243895415954662,0.08618570082974814,-0.07587835689262491,0.034400600875851194,0.0034431262695022212,-0.11464291285805821,0.022205745811779122,-0.10477350595684422,0.02292061682100102,-0.015685017342924136,-0.04405156688466286,-0.18308058105890693,-0.08113922892512883,0.1024717312819497,0.150926580890163,-0.1448145309965124,0.1123885420516064,-0.08480014185413244,0.03520108226201123,0.03776056772865595,-0.06507743039876024,0.046882680574251004,-0.048483185568436206,0.05305144735544564,-0.0041985445646702405,-0.03402248550470871,0.028485454768107654,0.0022649550353792875,-0.09462922979799818,-0.0009099919532617396,0.07585221127783381,-0.04200219526816997,0.021456461959092257,-0.020551489537306872,-0.041108986122359394,0.028057560290537506,-0.0571550364749445,-0.03947821255917709
3,0.864253517433865,0.6538163683934991,1.9541898675553526,-0.25542534312010245,0.3275024223733673,-0.14929246796209214,1.3027499240850633,1.2246886464944622,-0.1594847848802541,-0.20944842439958347,0.2689617378216284,0.03892553485791061,-0.19956063506648397,-0.0590584606237359,0.028245973407666016,-0.04657157392559489,0.06898913925088491,-0.027519250994876013,0.00698840248968809,0.013896251013459524,0.0017129398434938164,0.046362341561370896,-0.029853993296139927,0.01931609382926706,0.022469025858039466,0.01751878010671018,0.07257256340854526,-0.03210965652518334,-0.016849134186387688,-0.01607556161391618,0.05881184198552512,-0.006354852166005789,0.00878928742411009,0.005479483067620573,-0.016084633474547288,0.007975426089004799,0.010930743424825876,0.0046484273221855015,-0.036170346192220204,-0.006174002544098969,0.0014740299784297534,-0.0171386272193977,-0.010157558407367949,0.020225862869570538,0.0007390303157771719,-0.005126013991536613,0.01042443172726136,-0.001972139568292588,0.01613214273998254,0.00669162921501908,-0.003978207102819836,-0.0002307761169227925,0.006120425436233238
4,1.9671707743496818,0.6782934508568335,0.3399340258953162,1.8995538156683258,0.26671101675464204,0.34101848958387476,0.18343831559564477,0.23160991037845396,0.14314975727804513,0.5199451204230607,0.12765739191952644,-0.03233164556988243,0.060342535679451505,0.07943820826060755,0.07828863352595386,0.1419351997413655,-0.10616077428215843,-0.05746247205844867,0.025167023941769777,-0.008388388036376844,0.009590376477513008,-0.027717606079677437,0.05397959170574625,-0.014583124031119518,0.008050391043528934,0.03111955785590649,0.029022124002091088,-0.010471784967894342,-0.006796665720522664,0.000960710524903188,0.017797360289957563,-0.04659985953460012,-0.002700189220610298,-0.015469297471226828,0.0034811795977057343,0.01786251771850072,-0.030398912030581742,0.0030409208399422094,0.006759648585119864,-0.0019695993637160445,-0.008308722587005244,0.013028480626794398,0.004859328908088371,0.021673267474819877,0.007047132545085016,-0.004548878053395505,-0.0017005998094022565,0.010531789219392997,-0.00219867268010702,0.005249293557116552,0.0030634500172014223,0.007856846448920474,-0.005152680406622446
5,-3.1801899002490166,-0.137558239667163,-0.7005563252854998,-0.7320627907309045,-0.387684853301688,-0.5456831285818655,-0.4203355760571953,-0.5955986336551733,-0.6192145147988274,-0.04399122828840064,-0.17378445981786325,-0.033424746471251016,0.03617241048736886,-0.03691348025717084,-0.01851497429257898,-0.028929572275252426,0.0630955042395458,0.02615821394898988,-0.01645640866995432,-0.02496075808586418,-0.017098234279420657,0.01927516407069129,0.03612800617503038,-0.021260105119076084,-0.015651579437250332,-0.009964259266244571,0.004818976254563657,-0.007649595509235192,0.003506277826835622,-0.006279181539033472,-0.014777833037458376,0.0011625364732073967,-0.0031826851722913715,0.013138075518117723,0.02144442015446179,0.0050522392888959775,0.024014298449176456,-0.0014624182548128332,-0.0009620418998708848,0.012364819379258951,0.023481963952881657,0.0014560998601475274,0.0016247210611918647,-0.014834677811841723,0.008560814889331969,0.010381755522124902,0.0017780918352066747,-0.02388729219990809,0.012179538909285421,0.011416307043125944,-0.017072705067069878,-0.004609713589108696,-0.004714933520640819
6,0.2488480602980563,0.35237701463107285,1.1336645355741535,0.6273629839788561,5.3992068503393105,4.461674982451164,-1.336318562221183,-0.11237117573868165,0.22732334423091297,0.056376890542452186,0.37275293553732775,0.05180572661237043,-0.041540043476033316,-0.14286298908918954,-0.08279247437996824,-0.2794413431987231,-0.16292831859485837,0.08898391409505832,-0.018644532635258115,-0.029782513284572636,0.2030509970205586,-0.025194352819078714,0.08565337689152078,0.04677403681117355,-0.1244707907858388,-0.09434958439225659,-0.11061468036192995,0.27428324754572175,-0.03803462596952913,0.019226933042652116,-0.26152858696550585,-0.15845222269899045,0.023763474325990595,-0.04413811941937549,0.060928328660433705,-0.14671305670836965,-0.0641042475444027,0.06536736213030407,-0.012511545308338489,-0.06105778544391996,-0.015813794670163524,-0.06323754405050615,0.12058700949367875,-0.08835120918413719,-0.03273180224663397,-0.006923171350292712,-0.005413081079411309,0.06819030704914107,-0.02759266023645051,0.011829108970740628,0.015159125026519431,0.06727680344271476,0.01517907818157879
