ASRREA,ASBGSSB,ASBGSLR,ASBGSCR,ASBGHRL,ASBHSES,ASBHELN,ASBHELT,ASBHPLR,ACBG09,ACBG15,ACBGRRS,ACBGEAS,ACBGDAS,ACDGTIHY,ATBG01,ATBR01A,ATBR01B,ATBR02A,ATBR02B,ATBGEAS,ATBGSOS,ATBGTJS,ATBGSLI,ATDGLIHY,ATDGRIHY,ACBG17,ACBG21F,ATBR08H,ATBR10H,ATBR12DC,ATBR14,ATBR18E,cluster,cluster_pred
587.7807839999999,9.15299,11.30153,10.28978,10.89263,10.72985,10.1163,10.801940000000002,9.58447,300.0,17.0,9.24037,11.32571,12.9615,910.0,32.0,34.0,34.0,1.0,8.0,9.44107,13.6815,8.67953,10.27928,182.0,58.5,3,1,3,3,3,4,1,0,0
576.6041899999999,9.82079,9.17072,7.84162,10.22238,10.34719,8.57506,11.18387,10.14182,300.0,17.0,9.24037,11.32571,12.9615,910.0,32.0,34.0,34.0,1.0,8.0,9.44107,13.6815,8.67953,10.27928,182.0,58.5,3,1,3,3,3,4,1,6,6
566.230546,12.852619999999998,9.86291,10.90567,9.915260000000002,9.65449,11.82488,12.79881,8.67085,300.0,17.0,9.24037,11.32571,12.9615,910.0,32.0,34.0,34.0,1.0,8.0,9.44107,13.6815,8.67953,10.27928,182.0,58.5,3,1,3,3,3,4,1,0,0
553.685776,6.93638,8.7748,8.428240000000002,8.54792,7.92896,8.57506,9.422330000000002,8.45942,300.0,17.0,9.24037,11.32571,12.9615,910.0,32.0,34.0,34.0,1.0,8.0,9.44107,13.6815,8.67953,10.27928,182.0,58.5,3,1,3,3,3,4,1,1,1
548.5204239999999,12.852619999999998,10.14141,10.28978,9.915260000000002,10.72985,9.43432,10.445390000000002,8.04235,300.0,17.0,9.24037,11.32571,12.9615,910.0,32.0,34.0,34.0,1.0,8.0,9.44107,13.6815,8.67953,10.27928,182.0,58.5,3,1,3,3,3,4,1,1,1
569.255632,9.15299,9.86291,10.28978,10.54337,10.34719,10.61066,8.72843,10.47786,300.0,17.0,9.24037,11.32571,12.9615,910.0,32.0,34.0,34.0,1.0,8.0,9.44107,13.6815,8.67953,10.27928,182.0,58.5,3,1,3,3,3,4,1,0,0
523.7965379999999,9.82079,8.04592,8.428240000000002,8.94299,8.47905,8.36223,9.422330000000002,9.34052,300.0,17.0,9.24037,11.32571,12.9615,910.0,32.0,34.0,34.0,1.0,8.0,9.44107,13.6815,8.67953,10.27928,182.0,58.5,3,1,3,3,3,4,1,1,1
494.18724800000007,9.15299,8.7748,6.83123,8.54792,7.92896,6.533990000000001,8.36153,4.99244,300.0,17.0,9.24037,11.32571,12.9615,910.0,32.0,34.0,34.0,1.0,8.0,9.44107,13.6815,8.67953,10.27928,182.0,58.5,3,1,3,3,3,4,1,1,1
489.86751,9.82079,9.61297,7.84162,9.915260000000002,9.3078,12.69565,10.801940000000002,9.22612,300.0,17.0,9.24037,11.32571,12.9615,910.0,32.0,34.0,34.0,1.0,8.0,9.44107,13.6815,8.67953,10.27928,182.0,58.5,3,1,3,3,3,4,1,0,0
546.5495199999999,9.15299,9.38515,8.428240000000002,8.94299,8.92588,10.87826,12.12899,8.88647,300.0,17.0,9.24037,11.32571,12.9615,910.0,32.0,34.0,34.0,1.0,8.0,9.44107,13.6815,8.67953,10.27928,182.0,58.5,3,1,3,3,3,4,1,0,0
531.310444,9.82079,8.7748,7.84162,9.60729,9.3078,8.36223,9.76177,10.8815,300.0,17.0,9.24037,11.32571,12.9615,910.0,32.0,34.0,34.0,1.0,8.0,9.44107,13.6815,8.67953,10.27928,182.0,58.5,3,1,3,3,3,4,1,1,1
583.913228,8.64972,8.7748,8.72693,9.60729,10.72985,10.1163,8.72843,7.40977,300.0,17.0,9.24037,11.32571,12.9615,910.0,32.0,34.0,34.0,1.0,8.0,9.44107,13.6815,8.67953,10.27928,182.0,58.5,3,1,3,3,3,4,1,6,6
590.113402,9.82079,8.96826,8.72693,7.542070000000001,7.22491,9.2165,10.445390000000002,8.2504,300.0,17.0,9.24037,11.32571,12.9615,910.0,32.0,34.0,34.0,1.0,8.0,9.44107,13.6815,8.67953,10.27928,182.0,58.5,3,1,3,3,3,4,1,4,4
587.3420739999999,12.852619999999998,10.83607,9.0457,9.29058,9.3078,8.36223,10.445390000000002,6.9618,300.0,17.0,9.24037,11.32571,12.9615,910.0,32.0,34.0,34.0,1.0,8.0,9.44107,13.6815,8.67953,10.27928,182.0,58.5,3,1,3,3,3,4,1,4,4
509.9172699999999,7.87932,6.39342,6.83123,8.08848,9.3078,7.93271,11.61328,8.04235,300.0,17.0,9.24037,11.32571,12.9615,910.0,32.0,34.0,34.0,1.0,8.0,9.44107,13.6815,8.67953,10.27928,182.0,58.5,3,1,3,3,3,4,1,1,1
560.027994,12.852619999999998,12.86202,13.45388,10.19786,8.89752,9.43432,10.801940000000002,9.81687,300.0,17.0,9.24037,11.32571,12.9615,910.0,32.0,34.0,34.0,1.0,8.0,9.44107,13.6815,8.67953,10.27928,182.0,58.5,3,1,3,3,3,4,1,3,0
480.680806,10.82106,9.61297,9.399640000000002,8.94299,8.92588,7.029620000000001,8.72843,6.465270000000001,300.0,17.0,9.24037,11.32571,12.9615,910.0,32.0,34.0,34.0,1.0,8.0,9.44107,13.6815,8.67953,10.27928,182.0,58.5,3,1,3,3,3,4,1,1,1
431.442802,8.23773,7.30132,7.84162,10.22238,9.65449,8.57506,9.76177,8.04235,300.0,17.0,9.24037,11.32571,12.9615,910.0,32.0,34.0,34.0,1.0,8.0,9.44107,13.6815,8.67953,10.27928,182.0,58.5,3,1,3,3,3,4,1,2,2
598.2840120000001,10.82106,9.97223,9.0457,8.08848,7.22491,8.57506,10.445390000000002,7.8339,300.0,17.0,9.24037,11.32571,12.9615,910.0,32.0,34.0,34.0,1.0,8.0,9.44107,13.6815,8.67953,10.27928,182.0,58.5,3,1,3,3,3,4,1,4,4
515.533874,9.82079,9.17072,6.42311,9.29058,9.65449,9.2165,8.36153,9.10865,300.0,17.0,9.24037,11.32571,12.9615,910.0,32.0,34.0,34.0,1.0,8.0,9.44107,13.6815,8.67953,10.27928,182.0,58.5,3,1,3,3,3,4,1,1,1
611.8461060000001,12.852619999999998,8.7748,13.45388,8.94299,8.47905,7.264050000000001,10.10135,7.40977,300.0,17.0,9.24037,11.32571,12.9615,910.0,32.0,34.0,34.0,1.0,8.0,9.44107,13.6815,8.67953,10.27928,182.0,58.5,3,1,3,3,3,4,1,4,4
604.911384,8.64972,10.83607,9.8041,9.60729,9.3078,9.2165,9.76177,8.04235,300.0,17.0,9.24037,11.32571,12.9615,910.0,32.0,34.0,34.0,1.0,8.0,9.44107,13.6815,8.67953,10.27928,182.0,58.5,3,1,3,3,3,4,1,6,6
