precision,recall,f1-score,support
0.9222222222222223,0.8217821782178217,0.8691099476439791,101.0
0.890625,0.8321167883211679,0.8603773584905661,137.0
0.8943089430894309,0.9166666666666666,0.9053497942386831,120.0
0.9380530973451328,0.9137931034482759,0.925764192139738,116.0
0.8716577540106952,0.9314285714285714,0.9005524861878453,175.0
0.8857142857142857,0.9393939393939394,0.9117647058823529,99.0
0.9210526315789473,0.9459459459459459,0.9333333333333333,74.0
0.8990267639902676,0.8990267639902676,0.8990267639902676,0.8990267639902676
0.903376276280102,0.9001610276317698,0.9008931168452141,822.0
0.8998479536272989,0.8990267639902676,0.8985528978759045,822.0
