Predicted values,Predicted values,Predicted values,Predicted values,Predicted values,Predicted values,Predicted values,recall
0,1,2,3,4,5,6,
364.0,1.0,0.0,0.0,3.0,0.0,0.0,0.9891304347826086
0.0,490.0,2.0,0.0,4.0,0.0,1.0,0.9859154929577465
0.0,3.0,564.0,0.0,5.0,2.0,0.0,0.9825783972125436
3.0,4.0,0.0,369.0,0.0,0.0,0.0,0.9813829787234043
2.0,1.0,6.0,1.0,742.0,0.0,0.0,0.9867021276595744
0.0,3.0,1.0,0.0,2.0,391.0,0.0,0.9848866498740554
0.0,0.0,0.0,0.0,1.0,0.0,322.0,0.9969040247678018
0.986449864498645,0.9760956175298805,0.9842931937172775,0.9972972972972973,0.9801849405548216,0.9949109414758269,0.9969040247678018,0.9863097048980833
