component,var_name,var_value,component_mean,component_std
dim_12,ASDHSES,1,0.15510365259800932,0.1838736401998533
dim_12,ASDHSES,2,-0.05557327571967031,0.18480280769896665
dim_12,ASDHSES,3,-0.22599533140057193,0.16416539318906218
dim_12,ACBG11I,1,0.29662508349691963,0.1859472986455164
dim_12,ACBG11I,2,0.10303816478387254,0.18605481825859196
dim_12,ACBG11I,3,-0.10781990370323727,0.17749660815986706
dim_12,ACBG11I,4,-0.2384757292289332,0.17959583742340363
dim_12,ACBG11I,5,-0.36461381490873934,0.12567800962454143
dim_12,ASBH13,1,-0.2152575456799493,0.17221347882634364
dim_12,ASBH13,2,-0.13481686009175547,0.18161295999470403
dim_12,ASBH13,3,-0.02158188571524378,0.18807599559504748
dim_12,ASBH13,4,0.050709821537409085,0.19102744523560156
dim_12,ASBH13,5,0.17683382018016996,0.18781449096250974
dim_12,ASDGHRL,1,0.1985701973794879,0.16984977714802157
dim_12,ASDGHRL,2,-0.0632082308823146,0.19612640629631775
dim_12,ASDGHRL,3,-0.299468031976513,0.13821264853159979
dim_12,ACBG03A,1,0.15783420914643534,0.17873182767787324
dim_12,ACBG03A,2,0.0896555599104623,0.1906945210674574
dim_12,ACBG03A,3,-0.09013980740744273,0.187776479578521
dim_12,ACBG03A,4,-0.15567366989013834,0.20095386746993762
dim_12,ACDGSBC,1,0.1505290510475149,0.17670432932302182
dim_12,ACDGSBC,2,0.031831178999033746,0.21352720650910822
dim_12,ACDGSBC,3,-0.13490863387802432,0.18360796235862323
dim_12,ASBG04,1,-0.2277976053297178,0.18042638097624206
dim_12,ASBG04,2,-0.11956358042114774,0.1804594023913749
dim_12,ASBG04,3,-0.008892470626094174,0.1979770532030654
dim_12,ASBG04,4,0.10337774633386176,0.19798811965397362
dim_12,ASBG04,5,0.17309627881341844,0.19442840524768587
dim_12,ACDGEAS,1,0.23627540344039685,0.19022900891094097
dim_12,ACDGEAS,2,0.07421850606321805,0.19929748291148822
dim_12,ACDGEAS,3,-0.14386869424602358,0.18704562906547276
dim_12,ASBH15B,1,-0.1762152527833746,0.14632685200242343
dim_12,ASBH15B,2,-0.17629348086904062,0.17787202202058705
dim_12,ASBH15B,3,-0.14316311826347458,0.1905782354139434
dim_12,ASBH15B,4,-0.05162016402410107,0.1952841500827699
dim_12,ASBH15B,5,0.032463144675286326,0.2105651807490279
dim_12,ASBH15B,6,0.10317151624741239,0.20477503732028626
dim_12,ASBH15B,8,0.18269307671689178,0.17664981182742717
dim_12,ASBH15B,9,0.21102255197853226,0.16982525968235274
dim_12,ASBH15B,10,-0.14048467248323684,0.22851292999298034
dim_12,ASDHEDUP,1,0.1261430876648882,0.19693639097838267
dim_12,ASDHEDUP,2,-0.013252024464226008,0.20619428501560255
dim_12,ASDHEDUP,3,-0.08317344970182086,0.19099782210729813
dim_12,ASDHEDUP,4,-0.15557462712697148,0.18886300678817478
dim_12,ASDHEDUP,5,-0.2144101330284508,0.1875615963026393
dim_12,ASDHEDUP,6,-0.04284842899059448,0.29579880349200904
dim_12,ACBG11H,1,0.18666606218166062,0.18309737592192438
