var_name,missing
ASBH18AB,17.607706716617606
ASBH18DB,17.527428418517527
ASBH18EB,17.5006689858175
ASBH18CB,17.447150120417447
ASBH18BB,17.420390687717422
ACDGSBC,10.998126839710999
ATBG05BK,9.713674070109713
ATBG05BJ,8.83061279100883
ATBG05BE,8.616537329408617
ATBG05BH,8.482740165908483
ACDGTIHY,7.653197752207653
ATDGRIHY,7.305325127107305
ATBG07BC,7.278565694407279
ATBG05BF,7.010971367407011
ATBG07BE,6.930693069306931
ATBG05BB,6.796895905806797
ATBR01B,6.636339309606637
ATBG07BB,6.341985549906342
ATBG05BI,6.234947819106235
ATBG07BG,5.6194808670056196
ATBG07BD,5.6194808670056196
ACBG05A,5.485683703505486
ATBG05BD,5.458924270805459
ATBG01,5.218089376505218
ATBG05BG,5.004013914905004
ATBG07BF,4.816697886004817
ATDGLIHY,4.4688252609044685
ATBR17A,4.227990366604228
ACBG18C,4.227990366604228
ATBG07BA,4.1477120685041475
ATBR17B,3.8801177415038803
ATBR13D,3.7195611453037194
ACBG18A,3.3181696548033184
ASDHEDUP,3.2646507894032646
ASBH03C,3.0773347605030774
ATBR13C,3.0773347605030774
ASBH03E,3.0505753278030507
ATBR17C,2.863259298902863
ATBR13E,2.782981000802783
ASBH03D,2.7294621354027293
ASDHOCCP,2.7027027027027026
ATBG07AE,2.6224244046026226
ASBH18AA,2.6224244046026226
ATBR02B,2.568905539202569
ASBH18EA,2.568905539202569
ACBG17,2.568905539202569
ATBG07AC,2.542146106502542
ASBH18DA,2.488627241102489
ATBG07AB,2.4618678084024617
ATBG05AD,2.4618678084024617
ATBR01A,2.4618678084024617
ASBH18CA,2.435108375702435
ASBH18BA,2.4083489430024083
ACBG16,2.4083489430024083
ACBG15,2.4083489430024083
ATBR13B,2.247792346802248
ASDHAPS,2.221032914102221
ACBG09,2.1407546160021407
ATBG08E,2.0872357506020873
ATBG09A,2.0872357506020873
ATBG08D,2.0872357506020873
