ASRREA,ASBGSEC,ASBGSSB,ASBGSB,ASBGERL,ASBGDRL,ASBGSLR,ASBGSCR,ASBGHRL,ASBHSES,ASBHELN,ASBHELT,ASBHPCS,ASBHPLR,ACBG09,ACBG15,ACBG16,ACBGRRS,ACBGEAS,ACDGTIHY,ATBG01,ATBR01B,ATBR02B,ATBGEAS,ATBGSOS,ATBGTJS,ATBGSLI,ATDGLIHY,ATDGRIHY,ACBG14K,ACBG14M,ATBG05BB,ATBR07AB,ATBR07BB,ATBR08D,ATBR09H,ATBR12C,ATBR12DC,ATBR13D,ATBR14,cluster,cluster_pred
575.096066,8.55821,4.71585,12.567489999999998,3.84251,11.72278,5.35292,9.0457,11.74392,12.27791,9.2165,11.18387,8.46496,9.34052,200.0,1.0,1.0,7.37191,9.40492,791.66667,25.0,33.0,0.0,8.83963,9.42597,8.67953,7.52318,171.0,133.0,2,3,2,4,2,2,3,1,2,2,2,1,1
621.6686379999999,9.79644,9.15299,12.567489999999998,8.54449,9.89746,7.30132,8.72693,9.60729,9.3078,5.669340000000001,13.91988,10.10603,8.45942,200.0,1.0,1.0,7.37191,9.40492,791.66667,25.0,33.0,0.0,8.83963,9.42597,8.67953,7.52318,171.0,133.0,2,3,2,4,2,2,3,1,2,2,2,1,1
623.845972,10.50352,12.852619999999998,9.26414,13.33453,10.57259,11.30153,13.45388,11.28642,10.72985,10.87826,12.12899,12.13203,10.14182,200.0,1.0,1.0,7.37191,9.40492,791.66667,25.0,33.0,0.0,8.83963,9.42597,8.67953,7.52318,171.0,133.0,2,3,2,4,2,2,3,1,2,2,2,2,2
472.340428,8.55821,12.852619999999998,12.567489999999998,10.0428,5.92238,8.7748,7.19857,11.60031,10.9525,8.57506,10.445390000000002,7.91212,9.10865,200.0,1.0,1.0,7.37191,9.40492,791.66667,25.0,33.0,0.0,8.83963,9.42597,8.67953,7.52318,171.0,133.0,2,3,2,4,2,2,3,1,2,2,2,5,5
663.161754,9.51164,9.82079,12.567489999999998,7.8348,10.21804,8.58785,11.76022,10.54337,9.99175,7.029620000000001,12.79881,7.91212,7.8339,200.0,1.0,1.0,7.37191,9.40492,791.66667,25.0,33.0,0.0,8.83963,9.42597,8.67953,7.52318,171.0,133.0,2,3,2,4,2,2,3,1,2,2,2,3,3
576.4910120000001,9.51164,8.23773,8.33331,7.440709999999999,8.6804,8.7748,8.428240000000002,9.29058,8.92588,9.88273,12.12899,5.695990000000001,7.8339,200.0,1.0,1.0,7.37191,9.40492,791.66667,25.0,33.0,0.0,8.83963,9.42597,8.67953,7.52318,171.0,133.0,2,3,2,4,2,2,3,1,2,2,2,1,1
591.98137,8.77882,7.55475,8.8384,7.440709999999999,9.00419,8.04592,9.0457,12.298249999999998,13.04932,8.78784,10.10135,12.13203,7.19013,200.0,1.0,1.0,7.37191,9.40492,791.66667,25.0,33.0,0.0,8.83963,9.42597,8.67953,7.52318,171.0,133.0,2,3,2,4,2,2,3,1,2,2,2,1,1
606.764848,8.77882,8.23773,12.567489999999998,7.440709999999999,8.6804,8.22519,9.0457,11.28642,12.27791,12.22172,13.91988,9.52493,9.10865,200.0,1.0,1.0,7.37191,9.40492,791.66667,25.0,33.0,0.0,8.83963,9.42597,8.67953,7.52318,171.0,133.0,2,3,2,4,2,2,3,1,2,2,2,0,0
530.1732179999999,10.12086,8.23773,10.965,10.0428,11.50099,10.14141,10.90567,11.28642,10.72985,8.78784,12.12899,10.83953,8.88647,200.0,1.0,1.0,7.37191,9.40492,791.66667,25.0,33.0,0.0,8.83963,9.42597,8.67953,7.52318,171.0,133.0,2,3,2,4,2,2,3,1,2,2,2,1,1
635.289516,10.12086,7.24879,8.8384,7.63232,10.21804,10.83607,9.0457,11.74392,11.17158,9.00134,12.79881,8.46496,8.67085,200.0,1.0,1.0,7.37191,9.40492,791.66667,25.0,33.0,0.0,8.83963,9.42597,8.67953,7.52318,171.0,133.0,2,3,2,4,2,2,3,1,2,2,2,1,1
579.957084,8.77882,7.55475,10.965,6.72566,5.92238,8.04592,6.42311,10.89263,10.34719,8.78784,10.445390000000002,12.13203,5.86197,200.0,1.0,1.0,7.37191,9.40492,791.66667,25.0,33.0,0.0,8.83963,9.42597,8.67953,7.52318,171.0,133.0,2,3,2,4,2,2,3,1,2,2,2,1,1
602.723222,9.51164,8.23773,12.567489999999998,6.90346,8.6804,8.58785,8.72693,11.74392,11.68007,9.00134,10.445390000000002,8.994789999999998,8.2504,200.0,1.0,1.0,7.37191,9.40492,791.66667,25.0,33.0,0.0,8.83963,9.42597,8.67953,7.52318,171.0,133.0,2,3,2,4,2,2,3,1,2,2,2,1,1
645.855636,9.00789,12.852619999999998,12.567489999999998,7.25705,7.23115,7.30132,10.90567,10.89263,10.34719,6.533990000000001,11.18387,10.10603,8.2504,200.0,1.0,1.0,7.37191,9.40492,791.66667,25.0,33.0,0.0,8.83963,9.42597,8.67953,7.52318,171.0,133.0,2,3,2,4,2,2,3,1,2,2,2,1,1
627.67459,8.34208,7.87932,9.528710000000002,8.54449,10.21804,9.38515,8.428240000000002,9.91526,9.99175,10.1163,13.91988,9.52493,7.8339,100.0,1.0,1.0,8.75973,7.853500000000001,855.0,26.0,28.0,1.0,8.83963,9.89419,8.67953,13.32137,152.0,152.0,3,5,1,4,4,1,2,4,3,2,2,1,1
587.5324800000001,8.77882,6.61933,10.965,7.8348,5.92238,10.14141,10.28978,10.54337,10.34719,10.87826,12.12899,6.80582,9.34052,100.0,1.0,1.0,8.75973,7.853500000000001,855.0,26.0,28.0,1.0,8.83963,9.89419,8.67953,13.32137,152.0,152.0,3,5,1,4,4,1,2,4,3,2,2,1,1
601.7195939999999,11.61875,8.64972,10.965,7.63232,9.89746,6.10437,7.532170000000001,9.60729,8.92588,11.16498,13.91988,12.13203,8.45942,100.0,1.0,1.0,8.75973,7.853500000000001,855.0,26.0,28.0,1.0,8.83963,9.89419,8.67953,13.32137,152.0,152.0,3,5,1,4,4,1,2,4,3,2,2,1,1
598.2431399999999,8.12699,6.61933,10.28695,7.07874,7.86603,7.865749999999999,9.0457,10.89263,11.68007,9.2165,12.12899,6.80582,7.62363,100.0,1.0,1.0,8.75973,7.853500000000001,855.0,26.0,28.0,1.0,8.83963,9.89419,8.67953,13.32137,152.0,152.0,3,5,1,4,4,1,2,4,3,2,2,1,1
571.27816,9.51164,7.87932,9.85265,8.05152,9.60657,10.83607,9.8041,12.298249999999998,11.68007,8.78784,11.61328,9.52493,10.8815,100.0,1.0,1.0,8.75973,7.853500000000001,855.0,26.0,28.0,1.0,8.83963,9.89419,8.67953,13.32137,152.0,152.0,3,5,1,4,4,1,2,4,3,2,2,1,1
632.18074,8.77882,12.852619999999998,9.85265,6.1782900000000005,8.31437,6.94021,10.28978,10.54337,10.34719,10.3576,13.91988,10.10603,7.8339,100.0,1.0,1.0,8.75973,7.853500000000001,855.0,26.0,28.0,1.0,8.83963,9.89419,8.67953,13.32137,152.0,152.0,3,5,1,4,4,1,2,4,3,2,2,1,1
