Predicted values,Predicted values,Predicted values,Predicted values,Predicted values,Predicted values,recall
0,1,2,3,4,5,
350.0,1.0,1.0,1.0,0.0,0.0,0.9915014164305949
0.0,530.0,0.0,0.0,0.0,1.0,0.9981167608286252
1.0,0.0,407.0,0.0,0.0,0.0,0.9975490196078431
3.0,2.0,0.0,422.0,3.0,0.0,0.9813953488372092
1.0,0.0,0.0,2.0,485.0,3.0,0.9877800407331976
0.0,2.0,0.0,0.0,2.0,350.0,0.9887005649717514
0.9859154929577465,0.9906542056074766,0.9975490196078431,0.9929411764705882,0.9897959183673469,0.9887005649717514,0.9910401246591352
