Predicted values,Predicted values,Predicted values,Predicted values,Predicted values,Predicted values,Predicted values,recall
0,1,2,3,4,5,6,
42.0,0.0,0.0,2.0,0.0,2.0,0.0,0.9130434782608695
0.0,21.0,0.0,0.0,0.0,1.0,0.0,0.9545454545454546
1.0,1.0,46.0,1.0,4.0,4.0,0.0,0.8070175438596491
2.0,0.0,0.0,41.0,1.0,1.0,2.0,0.8723404255319149
4.0,0.0,2.0,0.0,45.0,0.0,0.0,0.8823529411764706
0.0,1.0,2.0,0.0,0.0,48.0,2.0,0.9056603773584906
0.0,0.0,0.0,0.0,1.0,0.0,12.0,0.9230769230769231
0.8571428571428571,0.9130434782608695,0.92,0.9318181818181818,0.8823529411764706,0.8571428571428571,0.75,0.8823529411764706
