precision,recall,f1-score,support
0.8571428571428571,0.9130434782608695,0.8842105263157894,46.0
0.9130434782608695,0.9545454545454546,0.9333333333333333,22.0
0.92,0.8070175438596491,0.8598130841121495,57.0
0.9318181818181818,0.8723404255319149,0.9010989010989011,47.0
0.8823529411764706,0.8823529411764706,0.8823529411764706,51.0
0.8571428571428571,0.9056603773584906,0.8807339449541285,53.0
0.75,0.9230769230769231,0.8275862068965517,13.0
0.8823529411764706,0.8823529411764706,0.8823529411764706,0.8823529411764706
0.873071473648748,0.894005306258539,0.8813041339839034,289.0
0.8855693907416489,0.8823529411764706,0.8823720811838218,289.0
