ASDAGE,ASRREA,ASBGSEC,ASBGSSB,ASBGSB,ASBGERL,ASBGDRL,ASBGSLR,ASBGSCR,ASBGHRL,ASBHSES,ASBHELN,ASBHELT,ASBHPCS,ASBHPLR,ACBG09,ACBG15,ACBG16,ACBGRRS,ACBGEAS,ACBGDAS,ACDGTIHY,ATBG01,ATBR01A,ATBR01B,ATBR02A,ATBR02B,ATBGEAS,ATBGSOS,ATBGTJS,ATBGSLI,ATDGLIHY,ATDGRIHY,ASBH16,ACBG14F,ACBG14G,ACBG14K,ACBG14M,ACBG14N,ACBG20,ACBG21B,ACBG21C,ACBG21F,ATBG05BE,ATBG05BJ,ATBG07BC,ATBG07BF,ATBG08B,ATBG09A,ATBG09D,ATBR06C,ATBR07BC,ATBR08A,ATBR08G,ATBR09B,ATBR09D,ATBR09E,ATBR09G,ATBR09I,ATBR10E,ATBR10G,ATBR10H,ATBR10I,ATBR11D,ATBR12A,ATBR12BB,ATBR13B,ATBR13C,ATBR17A,ATBR17B,ATBR18D,cluster,cluster_pred
9.75,633.2697340000001,8.34208,6.61933,10.965,6.90346,10.57259,7.865749999999999,8.428240000000002,11.74392,12.27791,15.91536,10.445390000000002,12.13203,9.58447,152.0,9.0,5.0,8.99854,9.72437,12.9615,773.33333,30.0,25.0,25.0,3.0,5.000000000000001,8.24023,7.526649999999999,3.83998,9.1022,233.33333,166.66667,6,2,2,3,4,4,1,1,1,1,3,2,2,2,2,2,1,3,2,2,2,3,2,1,2,3,2,2,2,2,2,1,1,3,4,1,1,1,0,0
9.67,635.790714,7.68647,5.88997,9.85265,7.25705,11.50099,8.58785,11.76022,13.046469999999998,12.27791,9.88273,9.422330000000002,7.35062,9.34052,152.0,9.0,5.0,8.99854,9.72437,12.9615,773.33333,30.0,25.0,25.0,3.0,5.000000000000001,8.24023,7.526649999999999,3.83998,9.1022,233.33333,166.66667,5,2,2,3,4,4,1,1,1,1,3,2,2,2,2,2,1,3,2,2,2,3,2,1,2,3,2,2,2,2,2,1,1,3,4,1,1,1,3,3
10.33,587.0033860000001,10.97885,7.55475,10.28695,5.9791,9.89746,5.35292,7.19857,9.91526,10.72985,7.49173,10.801940000000002,9.52493,8.67085,152.0,9.0,5.0,8.99854,9.72437,12.9615,773.33333,30.0,25.0,25.0,3.0,5.000000000000001,8.24023,7.526649999999999,3.83998,9.1022,233.33333,166.66667,5,2,2,3,4,4,1,1,1,1,3,2,2,2,2,2,1,3,2,2,2,3,2,1,2,3,2,2,2,2,2,1,1,3,4,1,1,1,3,3
10.33,588.491666,10.12086,10.82106,12.567489999999998,7.63232,10.98651,11.30153,10.28978,11.74392,10.34719,8.78784,10.445390000000002,9.52493,8.2504,152.0,9.0,5.0,8.99854,9.72437,12.9615,773.33333,30.0,25.0,25.0,3.0,5.000000000000001,8.24023,7.526649999999999,3.83998,9.1022,233.33333,166.66667,6,2,2,3,4,4,1,1,1,1,3,2,2,2,2,2,1,3,2,2,2,3,2,1,2,3,2,2,2,2,2,1,1,3,4,1,1,1,3,3
10.25,563.764522,6.93942,8.23773,10.28695,8.05152,10.98651,9.38515,8.66987,8.86696,9.42536,9.00134,11.18387,5.695990000000001,8.83807,152.0,9.0,5.0,8.99854,9.72437,12.9615,773.33333,30.0,25.0,25.0,3.0,5.000000000000001,8.24023,7.526649999999999,3.83998,9.1022,233.33333,166.66667,2,2,2,3,4,4,1,1,1,1,3,2,2,2,2,2,1,3,2,2,2,3,2,1,2,3,2,2,2,2,2,1,1,3,4,1,1,1,3,3
10.17,639.495682,9.25019,8.23773,9.03816,10.66007,10.57259,8.7748,7.19857,10.22238,10.72985,11.16498,12.12899,10.83953,8.88647,152.0,9.0,5.0,8.99854,9.72437,12.9615,773.33333,30.0,25.0,25.0,3.0,5.000000000000001,8.24023,7.526649999999999,3.83998,9.1022,233.33333,166.66667,6,2,2,3,4,4,1,1,1,1,3,2,2,2,2,2,1,3,2,2,2,3,2,1,2,3,2,2,2,2,2,1,1,3,4,1,1,1,3,3
10.17,612.2658039999999,7.68647,7.87932,10.965,8.54449,10.98651,7.767469999999999,5.95198,10.543369999999998,10.72985,11.16498,12.12899,10.83953,8.88647,152.0,9.0,5.0,8.99854,9.72437,12.9615,773.33333,30.0,25.0,25.0,3.0,5.000000000000001,8.24023,7.526649999999999,3.83998,9.1022,233.33333,166.66667,6,2,2,3,4,4,1,1,1,1,3,2,2,2,2,2,1,3,2,2,2,3,2,1,2,3,2,2,2,2,2,1,1,3,4,1,1,1,3,3
10.08,623.075624,12.60945,10.82106,9.85265,8.83577,13.15938,8.40525,10.28978,8.08848,8.92588,11.47732,10.445390000000002,10.83953,8.88647,152.0,9.0,5.0,8.99854,9.72437,12.9615,773.33333,30.0,25.0,25.0,3.0,5.000000000000001,8.24023,7.526649999999999,3.83998,9.1022,233.33333,166.66667,6,2,2,3,4,4,1,1,1,1,3,2,2,2,2,2,1,3,2,2,2,3,2,1,2,3,2,2,2,2,2,1,1,3,4,1,1,1,3,3
9.92,605.849776,14.77909,9.82079,12.567489999999998,13.33453,13.15938,11.92201,10.74356,9.91526,10.34719,8.57506,10.445390000000002,12.13203,13.71967,152.0,9.0,5.0,8.99854,9.72437,12.9615,773.33333,30.0,25.0,25.0,3.0,5.000000000000001,8.24023,7.526649999999999,3.83998,9.1022,233.33333,166.66667,6,2,2,3,4,4,1,1,1,1,3,2,2,2,2,2,1,3,2,2,2,3,2,1,2,3,2,2,2,2,2,1,1,3,4,1,1,1,3,3
9.92,622.99126,8.77882,9.82079,12.567489999999998,8.28542,10.57259,9.17072,9.399640000000002,12.29825,13.04932,9.65595,13.91988,6.27013,8.67085,152.0,9.0,5.0,8.99854,9.72437,12.9615,773.33333,30.0,25.0,25.0,3.0,5.000000000000001,8.24023,7.526649999999999,3.83998,9.1022,233.33333,166.66667,6,2,2,3,4,4,1,1,1,1,3,2,2,2,2,2,1,3,2,2,2,3,2,1,2,3,2,2,2,2,2,1,1,3,4,1,1,1,3,3
