precision,recall,f1-score,support
0.8142857142857143,0.7037037037037037,0.7549668874172185,162.0
0.8142076502732241,0.8370786516853933,0.8254847645429363,178.0
0.95,0.9743589743589743,0.9620253164556962,39.0
0.8467153284671532,0.9206349206349206,0.8821292775665399,126.0
0.8125,0.8062015503875969,0.8093385214007782,129.0
0.7333333333333333,0.7586206896551724,0.7457627118644068,145.0
0.9642857142857143,1.0,0.9818181818181818,27.0
0.8163771712158809,0.8163771712158809,0.8163771712158809,0.8163771712158809
0.8479039629493056,0.8572283557751088,0.8516465230093939,806.0
0.8160805539315492,0.8163771712158809,0.8150838133443159,806.0
