variable_name,shap_importance
ATBG05BC,0.0
ATBG04,0.0
ATBG07AC,0.0
ATBG07AB,0.0
ATBG05BI,0.0
ATBG07BC,0.0
ACBG10AD,0.0
ACBG06C,0.0
ACBG04,0.0
ATBG11B,0.0
ATBG08D,0.0
ACBG11C,0.0
ASBH08C,0.0
ACBG11B,0.0
ATBR03B,0.0
ATBG11H,0.0
ACBG11G,0.0
ACBG10BA,0.0
ATBR08E,0.0
ATBR08A,0.0
ATBR06D,0.0
ATBR09A,0.0
