precision,recall,f1-score,support
0.85,0.9444444444444444,0.8947368421052632,18.0
0.875,0.84,0.8571428571428571,50.0
1.0,1.0,1.0,10.0
0.875,0.9130434782608695,0.8936170212765957,46.0
0.9473684210526315,1.0,0.972972972972973,18.0
0.8,0.8,0.8,40.0
0.803921568627451,0.7884615384615384,0.7961165048543689,52.0
1.0,0.8571428571428571,0.9230769230769231,14.0
0.9615384615384616,0.9615384615384616,0.9615384615384616,26.0
0.8722627737226277,0.8722627737226277,0.8722627737226277,0.8722627737226277
0.9014253834687271,0.9005145310942413,0.8999112869963825,274.0
0.8728341355750906,0.8722627737226277,0.8719103565064913,274.0
